class,precision,recall,f1,support
airplane,0.8772819472616633,0.865,0.8710976837865055,1000
automobile,0.9511941848390446,0.916,0.9332654100866021,1000
bird,0.8371848739495799,0.797,0.8165983606557377,1000
cat,0.8163471241170535,0.809,0.8126569563033651,1000
dog,0.8095667870036101,0.897,0.8510436432637571,1000
