class,precision,recall,f1,support
airplane,0.9149560117302052,0.936,0.9253583786455759,1000
automobile,0.9724409448818898,0.988,0.9801587301587301,1000
bird,0.8733401430030644,0.855,0.8640727640222334,1000
cat,0.8811681772406847,0.875,0.8780732563973909,1000
dog,0.9069767441860465,0.897,0.9019607843137255,1000
